,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,BHJOB15656_16794 - Data Scientist,-1,BHJOB15656_16794 - Data Scientist,3.7,Myticas Consulting,Remote,Remote,-1,-1,-1,-1,-1,-1,-1
1,Data Scientist,$85.00 /hr (est.),Data Scientist,4.3,Infologitech,Remote,Remote,-1,-1,-1,-1,-1,-1,-1
2,Data Scientist III,"$80,000 /yr (est.)",Data Scientist III,4.4,GTA (Global Technology Associates),"Englewood, CO","Englewood, CO",-1,-1,-1,-1,-1,-1,-1
3,Data Scientist,"$115,000 /yr (est.)",Data Scientist,-1,"3G Federal Solutions, LLC",Remote,Remote,-1,-1,-1,-1,-1,-1,-1
4,Junior Data Scientist,"$100,000 /yr (est.)",Junior Data Scientist,-1,Talentheed Inc,Remote,Remote,-1,-1,-1,-1,-1,-1,-1
5,Data Scientist,$77.50 /hr (est.),Data Scientist,4.6,Kani Solutions,Remote,Remote,201 to 500 Employees,2009,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 million (USD),-1
6,Data Scientist,$87.50 /hr (est.),Data Scientist,5.0,Tricon IT Solutions (For End Clients),"Orlando, FL","Orlando, FL",-1,-1,-1,-1,-1,-1,-1
7,Data Scientist - Personalization,"$85,503 /yr (est.)",Data Scientist - Personalization,4.0,Audible,"Newark, NJ","Newark, NJ",1001 to 5000 Employees,1995,Subsidiary or Business Segment,Film Production,Media & Communication,Unknown / Non-Applicable,-1
8,Data Scientist,"$120,000 /yr (est.)",Data Scientist,5.0,Murmuration,"New York, NY","New York, NY",-1,-1,-1,-1,-1,-1,-1
9,Data Scientist,$75.00 /hr (est.),Data Scientist,-1,Mint-Technologies,"Richmond, VA","Richmond, VA",-1,-1,-1,-1,-1,-1,-1
10,Jr. Data Scientist,"$72,500 /yr (est.)",Jr. Data Scientist,-1,Net2Aspire,Remote,Remote,-1,-1,-1,-1,-1,-1,-1
11,Data Scientist,"$122,407 /yr (est.)",Data Scientist,3.6,Oscar Health,"New York, NY","New York, NY",1001 to 5000 Employees,2012,Company - Public,Insurance Agencies & Brokerages,Insurance,$2 to $5 billion (USD),-1
12,Data Scientist,"$95,127 /yr (est.)",Data Scientist,3.9,Toyota,"Plano, TX","Plano, TX",10000+ Employees,1957,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),-1
13,Data Scientist,$70.00 /hr (est.),Data Scientist,4.6,Teamware Solutions (quantum leap consulting).,Remote,Remote,1001 to 5000 Employees,2003,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1
14,Junior Data Scientist,"$57,500 /yr (est.)",Junior Data Scientist,4.3,Augray,"Brookfield, WI","Brookfield, WI",51 to 200 Employees,2014,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1
15,Data Scientist,$85.00 /hr (est.),Data Scientist,-1,Cilable,"Atlanta, GA","Atlanta, GA",-1,-1,-1,-1,-1,-1,-1
16,Junior Data Scientist,"$80,000 /yr (est.)",Junior Data Scientist,3.7,Acima,"Draper, UT","Draper, UT",501 to 1000 Employees,2013,Company - Public,Banking & Lending,Financial Services,Unknown / Non-Applicable,-1
17,Data Scientist,"$130,000 /yr (est.)",Data Scientist,-1,Advansys Solutions,Remote,Remote,-1,-1,-1,-1,-1,-1,-1
18,Data Scientist II,"$109,250 /yr (est.)",Data Scientist II,4.0,Principal Financial Group,"Des Moines, IA","Des Moines, IA",10000+ Employees,1879,Company - Public,Investment & Asset Management,Financial Services,$10+ billion (USD),-1
19,DATA SCIENTIST,"$110,107 /yr (est.)",DATA SCIENTIST,4.2,University of Washington,"Seattle, WA","Seattle, WA",10000+ Employees,1861,College / University,Colleges & Universities,Education,$2 to $5 billion (USD),-1
20,Data Scientist,"$130,000 /yr (est.)",Data Scientist,3.7,EXCELACOM INC,"Englewood, CO","Englewood, CO",51 to 200 Employees,2000,Company - Private,Telecommunications Services,Telecommunications,Unknown / Non-Applicable,-1
21,Data Scientist,"$105,963 /yr (est.)",Data Scientist,3.1,REVOLVE,"Cerritos, CA","Cerritos, CA",1001 to 5000 Employees,2003,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$500 million to $1 billion (USD),-1
22,"Data Scientist, Data Science & Modeling","$134,452 /yr (est.)","Data Scientist, Data Science & Modeling",3.1,CardWorks,"South Jordan, UT","South Jordan, UT",501 to 1000 Employees,1987,Company - Private,Banking & Lending,Financial Services,$50 to $100 million (USD),-1
23,Data Scientist Associate - CXI,"$90,000 /yr (est.)",Data Scientist Associate - CXI,3.7,SCAN Health Plan,"Long Beach, CA","Long Beach, CA",1001 to 5000 Employees,1977,Nonprofit Organization,Insurance Carriers,Insurance,$2 to $5 billion (USD),-1
24,Data Scientist - Computer Vision,-1,Data Scientist - Computer Vision,-1,RadiusAI,"Bellevue, WA","Bellevue, WA",-1,-1,-1,-1,-1,-1,-1
25,Data Scientist,"$134,415 /yr (est.)",Data Scientist,-1,Bell Federal Systems Inc.,Remote,Remote,-1,-1,-1,-1,-1,-1,-1
26,Data Scientist,$57.50 /hr (est.),Data Scientist,-1,Openmind Technologies,"Vacaville, CA","Vacaville, CA",-1,-1,-1,-1,-1,-1,-1
27,Data Scientist II - 100% Remote,"$123,648 /yr (est.)",Data Scientist II - 100% Remote,4.2,Radian,Maryland,Maryland,1001 to 5000 Employees,1977,Company - Public,Insurance Carriers,Insurance,$1 to $2 billion (USD),-1
